brand,name,size,price
Highlands,Phin sữa đá,S,29000.0
Highlands,Phin sữa đá,M,35000.0
Highlands,Phin sữa đá,L,39000.0
Highlands,Bạc xỉu,S,29000.0
Highlands,Bạc xỉu,M,35000.0
Highlands,Bạc xỉu,L,39000.0
Highlands,Phin đen đá,S,29000.0
Highlands,Phin đen đá,M,35000.0
Highlands,Phin đen đá,L,39000.0
Highlands,Phin sữa nóng,S,29000.0
Highlands,Phin sữa nóng,M,35000.0
Highlands,Phin sữa nóng,L,39000.0
Highlands,Phin đen nóng,S,29000.0
Highlands,Phin đen nóng,M,35000.0
Highlands,Phin đen nóng,L,39000.0
Highlands,Americano,S,35000.0
Highlands,Americano,M,39000.0
Highlands,Americano,L,45000.0
Highlands,Latte,S,55000.0
Highlands,Latte,M,65000.0
Highlands,Latte,L,69000.0
Highlands,Cappuccino,S,55000.0
Highlands,Cappuccino,M,65000.0
Highlands,Cappuccino,L,69000.0
Highlands,Caramel Macchiato,S,59000.0
Highlands,Caramel Macchiato,M,69000.0
Highlands,Caramel Macchiato,L,75000.0
Highlands,Espresso,S,35000.0
Highlands,Espresso,M,39000.0
Highlands,Espresso,L,45000.0
Highlands,Mocha,S,59000.0
Highlands,Mocha,M,69000.0
Highlands,Mocha,L,75000.0
Highlands,Freeze Trà Xanh,S,49000.0
Highlands,Freeze Trà Xanh,M,59000.0
Highlands,Freeze Trà Xanh,L,65000.0
Highlands,Chocolate Freeze,S,49000.0
Highlands,Chocolate Freeze,M,59000.0
Highlands,Chocolate Freeze,L,65000.0
Highlands,Caramel Phin Freeze,S,49000.0
Highlands,Caramel Phin Freeze,M,59000.0
Highlands,Caramel Phin Freeze,L,65000.0
Highlands,Cookies & Cream,S,49000.0
Highlands,Cookies & Cream,M,59000.0
Highlands,Cookies & Cream,L,65000.0
Highlands,Classic Phin Freeze,S,49000.0
Highlands,Classic Phin Freeze,M,59000.0
Highlands,Classic Phin Freeze,L,65000.0
Highlands,Trà Sen Vàng,S,39000.0
Highlands,Trà Sen Vàng,M,49000.0
Highlands,Trà Sen Vàng,L,55000.0
Highlands,Trà Sen Vàng Mới,S,39000.0
Highlands,Trà Sen Vàng Mới,M,49000.0
Highlands,Trà Sen Vàng Mới,L,55000.0
Highlands,Trà Thạch Vải,S,39000.0
Highlands,Trà Thạch Vải,M,49000.0
Highlands,Trà Thạch Vải,L,55000.0
Highlands,Trà Thanh Đào,S,39000.0
Highlands,Trà Thanh Đào,M,49000.0
Highlands,Trà Thanh Đào,L,55000.0
Highlands,Trà Thạch Đào,S,39000.0
Highlands,Trà Thạch Đào,M,49000.0
Highlands,Trà Thạch Đào,L,55000.0
Highlands,Trà Xanh Đậu Đỏ,S,39000.0
Highlands,Trà Xanh Đậu Đỏ,M,49000.0
Highlands,Trà Xanh Đậu Đỏ,L,55000.0
Highlands,Chanh Đá Xay,S,39000.0
Highlands,Chanh Đá Xay,M,49000.0
Highlands,Chanh Đá Xay,L,55000.0
Highlands,Chanh Dây Đá Viên,S,39000.0
Highlands,Chanh Dây Đá Viên,M,49000.0
Highlands,Chanh Dây Đá Viên,L,55000.0
Highlands,Chocolate,S,55000.0
Highlands,Chocolate,M,59000.0
Highlands,Chocolate,L,65000.0
Highlands,Chanh Đá Viên,S,39000.0
Highlands,Chanh Đá Viên,M,49000.0
Highlands,Chanh Đá Viên,L,55000.0
Highlands,Tắc/Quất Đá Viên,S,39000.0
Highlands,Tắc/Quất Đá Viên,M,49000.0
Highlands,Tắc/Quất Đá Viên,L,55000.0
Highlands,Chanh Nóng,S,39000.0
Highlands,Chanh Nóng,M,49000.0
Highlands,Chanh Nóng,L,55000.0
Highlands,Bánh Tiramisu,,29000.0
Highlands,Bánh Chuối,,29000.0
Highlands,Bánh Phô Mai Chanh Dây,,29000.0
Highlands,Bánh Phô Mai Trà Xanh,,29000.0
Highlands,Bánh Mousse Đào,,29000.0
Highlands,Bánh Phô Mai Cà Phê,,29000.0
Highlands,Bánh Phô Mai Caramel,,29000.0
Highlands,Bánh Chocolate,,29000.0
Highlands,Bánh Mousse Cacao,,29000.0
