brand,name,size,price
Phúc Long,Hồng Trà Chanh,L,49000
Phúc Long,Hồng Trà Chanh,M,30000
Phúc Long,Hồng Trà Đào,M,49000
Phúc Long,Hồng Trà Đào,L,65000
Phúc Long,Trà Vải Lài,L,65000
Phúc Long,Trà Vải Lài,M,49000
Phúc Long,Trà Nhãn Sen,L,65000
Phúc Long,Trà Nhãn Sen,M,49000
Phúc Long,Trà Nhãn Lài,L,65000
Phúc Long,Trà Nhãn Lài,M,49000
Phúc Long,Trà Lài Đác Thơm,M,59000
Phúc Long,Trà Lài Đác Thơm,L,65000
Phúc Long,Trà Lucky Tea,M,59000
Phúc Long,Trà Lucky Tea,L,69000
Phúc Long,Trà Ô Long Dâu,L,65000
Phúc Long,Trà Ô Long Dâu,M,59000
Phúc Long,Trà Lài Mãng Cầu Thạch Dừa Sợi,M,60000
Phúc Long,Trà Lài Mãng Cầu Thạch Dừa Sợi,L,69000
Phúc Long,Trà Lài Phúc Bồn Tử Thạch Dừa Sợi,L,69000
Phúc Long,Trà Lài Phúc Bồn Tử Thạch Dừa Sợi,M,65000
Phúc Long,Trà Ô Long Lài Bưởi,M,65000
Phúc Long,Trà Ô Long Lài Bưởi,L,69000
Phúc Long,Trà Sữa Phúc Long,M,45000
Phúc Long,Trà Sữa Phúc Long,L,59000
Phúc Long,Trà Sữa Ô Long,L,59000
Phúc Long,Trà Sữa Ô Long,M,45000
Phúc Long,Trà Sữa Ô Long Quế Hoa,M,50000
Phúc Long,Trà Sữa Ô Long Quế Hoa,L,55000
Phúc Long,Trà Sữa Socola,M,55000
Phúc Long,Trà Sữa Socola,L,59000
Phúc Long,Trà Sữa Matcha,M,49000
Phúc Long,Trà Sữa Matcha,L,65000
Phúc Long,Hồng Trà Sữa,L,55000
Phúc Long,Hồng Trà Sữa,M,45000
Phúc Long,Trà Sữa Lài,M,55000
Phúc Long,Trà Sữa Lài,L,59000
Phúc Long,Trà Sữa Nhãn Sen,M,59000
Phúc Long,Trà Sữa Nhãn Sen,L,60000
Phúc Long,Trà Sữa Bá Tước,L,55000
Phúc Long,Trà Sữa Bá Tước,XL,55000
Phúc Long,Trà Sữa Bá Tước,M,50000
Phúc Long,Trà Sữa Ô Long Lài Thạch Konjac,M,54000
Phúc Long,Trà Sữa Ô Long Lài Thạch Konjac,L,65000
Phúc Long,Trà Phúc Long Kem Silky,M,55000
Phúc Long,Trà Phúc Long Kem Silky,L,59000
Phúc Long,Trà Ô Long Kem Silky,M,55000
Phúc Long,Trà Ô Long Kem Silky,L,59000
Phúc Long,Trà Ô Long Kem Silky,XL,59000
Phúc Long,Hồng Trà Kem Silky,M,55000
Phúc Long,Hồng Trà Kem Silky,XL,59000
Phúc Long,Hồng Trà Kem Silky,L,59000
Phúc Long,Trà Lài Kem Silky,XL,59000
Phúc Long,Trà Lài Kem Silky,L,59000
Phúc Long,Trà Lài Kem Silky,M,55000
Phúc Long,Trà Ô Long Quế Hoa Kem Silky,XL,55000
Phúc Long,Trà Ô Long Quế Hoa Kem Silky,L,55000
Phúc Long,Trà Ô Long Quế Hoa Kem Silky,M,50000
Phúc Long,Cà Phê Sữa Kem Silky,M,50000
Phúc Long,Cà Phê Sữa Kem Silky,L,65000
Phúc Long,Cà Phê Đen Đá,M,35000
Phúc Long,Cà Phê Đen Đá,L,35000
Phúc Long,Cà phê Cappuccino,L,65000
Phúc Long,Cà phê Cappuccino,M,55000
Phúc Long,Cà Phê Sữa Kem Silky,M,50000
Phúc Long,Cà Phê Sữa Kem Silky,L,65000
Phúc Long,Cà Phê Sữa Đá,M,39000
Phúc Long,Cà Phê Sữa Đá,L,40000
Phúc Long,Cà phê Latte,M,55000
Phúc Long,Cà phê Latte,L,55000
Phúc Long,Oreo Kem Đá,M,69000
Phúc Long,Đá xay,M,69000
Phúc Long,Cappuccino Đá,M,69000
Phúc Long,Hồng Trà Đác Cam Đá,L,70000
Phúc Long,Sữa Chua Xoài Đác,L,70000
Phúc Long,Sữa Chua Phúc Bồn Tử Đác,L,70000
Phúc Long,Chanh Đá,M,59000
Phúc Long,Trà Phúc Long,L,50000
Phúc Long,Trà Phúc Long,M,45000
Phúc Long,Trà Ô Long,M,45000
Phúc Long,Trà Ô Long,L,50000
Phúc Long,Hồng Trà,L,50000
Phúc Long,Hồng Trà,XL,50000
Phúc Long,Hồng Trà,M,45000
Phúc Long,Trà Lài,XL,50000
Phúc Long,Trà Lài,L,50000
Phúc Long,Trà Lài,M,45000
Phúc Long,Trà Sen,M,45000
Phúc Long,Trà Sen,XL,50000
Phúc Long,Trà Sen,L,50000
Phúc Long,Trà Ô Long Quế Hoa,XL,45000
Phúc Long,Trà Ô Long Quế Hoa,M,40000
Phúc Long,Trà Ô Long Quế Hoa,L,45000
Phúc Long,Trà Bá Tước,L,45000
Phúc Long,Trà Bá Tước,M,40000
Phúc Long,Trà Bá Tước,XL,45000
Phúc Long,Trà Ô Long Lài,L,50000
Phúc Long,Trà Ô Long Lài,XL,50000
Phúc Long,Trà Ô Long Lài,M,45000
Phúc Long,Bánh Flan Phúc,,20000
Phúc Long,Panna Cotta Chanh Dây,,35000
Phúc Long,Bánh,,38000
Phúc Long,Bánh Chuối Hạt Dinh,,39000
Phúc Long,Bánh croissant choco,,22000
Phúc Long,Bánh croissant,,25000
Phúc Long,Bánh mì Phúc Long,,38000
