name,address,lat,long,phone,avg_rating,num_of_reviews,info
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,No-contact delivery
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Delivery
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Takeout
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Dine-in
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Great coffee
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Great dessert
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Great tea selection
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Good for working on laptop
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Coffee
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Quick bite
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Catering
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Dessert
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Restroom
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Casual
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Cozy
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,College students
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Groups
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Credit cards
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Debit cards
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,NFC mobile payments
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Good for kids
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Free parking lot
Phúc Long Coffee & Tea - Co.opmart Thắng Lợi,"2 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8181441,106.6198338,+84 28 3535 1144,3.4,132,Usually plenty of parking
Phúc Long Tea & Coffee - 514 Lê Trọng Tấn,"514A Lê Trọng Tấn, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh 70000, Vietnam",10.8104189,106.612639,+84 28 7100 1968 ext. 21278,3.7,402,Wheelchair accessible restroom
Phúc Long Tea & Coffee - 514 Lê Trọng Tấn,"514A Lê Trọng Tấn, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh 70000, Vietnam",10.8104189,106.612639,+84 28 7100 1968 ext. 21278,3.7,402,Outdoor seating
Phúc Long Tea & Coffee - 514 Lê Trọng Tấn,"514A Lê Trọng Tấn, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh 70000, Vietnam",10.8104189,106.612639,+84 28 7100 1968 ext. 21278,3.7,402,No-contact delivery
Phúc Long Tea & Coffee - 514 Lê Trọng Tấn,"514A Lê Trọng Tấn, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh 70000, Vietnam",10.8104189,106.612639,+84 28 7100 1968 ext. 21278,3.7,402,Delivery
Phúc Long Tea & Coffee - 514 Lê Trọng Tấn,"514A Lê Trọng Tấn, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh 70000, Vietnam",10.8104189,106.612639,+84 28 7100 1968 ext. 21278,3.7,402,Takeout
Phúc Long Tea & Coffee - 514 Lê Trọng Tấn,"514A Lê Trọng Tấn, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh 70000, Vietnam",10.8104189,106.612639,+84 28 7100 1968 ext. 21278,3.7,402,Dine-in
Phúc Long Tea & Coffee - 514 Lê Trọng Tấn,"514A Lê Trọng Tấn, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh 70000, Vietnam",10.8104189,106.612639,+84 28 7100 1968 ext. 21278,3.7,402,Great coffee
