Date,Windows,OS X,Unknown,Linux,Chrome OS,macOS,Other,Region
2023-01,74.14,15.33,5.27,2.91,2.35,0.0,0.01,Worldwide
2023-02,71.78,16.26,6.12,2.94,2.9,0.0,0.01,Worldwide
2023-03,69.4,17.21,7.3,2.85,3.23,0.0,0.01,Worldwide
2023-04,62.65,17.79,13.0,2.83,3.72,0.0,0.01,Worldwide
2023-05,62.06,18.96,12.69,2.7,3.59,0.0,0.01,Worldwide
2023-06,68.23,21.32,3.24,3.07,4.13,0.0,0.01,Worldwide
2023-07,69.52,20.42,3.69,3.12,3.24,0.0,0.01,Worldwide
2023-08,69.26,20.18,4.02,3.18,3.34,0.0,0.01,Worldwide
2023-09,68.41,20.15,4.52,3.02,3.89,0.0,0.01,Worldwide
2023-10,68.87,20.34,3.75,2.92,4.1,0.0,0.01,Worldwide
2023-11,69.02,21.01,3.03,3.22,3.71,0.0,0.01,Worldwide
2023-12,72.72,16.38,4.64,3.83,2.42,0.0,0.01,Worldwide
2024-01,73.0,16.11,5.33,3.77,1.78,0.0,0.01,Worldwide
2024-02,72.17,15.42,6.1,4.03,2.27,0.0,0.01,Worldwide
2024-03,72.47,14.68,6.52,4.05,2.27,0.0,0.01,Worldwide
2024-04,73.5,14.7,5.34,3.88,2.56,0.0,0.01,Worldwide
2024-05,73.91,14.9,4.87,3.77,2.54,0.0,0.01,Worldwide
2024-06,72.81,14.97,6.23,4.05,1.93,0.0,0.01,Worldwide
2024-07,72.1,14.92,7.13,4.44,1.41,0.0,0.01,Worldwide
2024-08,71.46,15.48,6.77,4.55,1.73,0.0,0.01,Worldwide
2024-09,73.35,15.45,4.47,4.48,2.25,0.0,0.01,Worldwide
2024-10,73.39,15.52,4.66,4.3,2.13,0.0,0.01,Worldwide
2024-11,72.94,15.38,5.4,4.04,2.24,0.0,0.01,Worldwide
2024-12,73.38,14.16,6.43,4.13,1.89,0.0,0.01,Worldwide
2025-01,71.9,15.02,7.43,3.72,1.92,0.0,0.01,Worldwide
2025-02,70.62,15.74,8.01,3.81,1.81,0.0,0.0,Worldwide
2025-03,71.68,13.59,6.78,3.98,1.86,2.11,0.0,Worldwide
2025-04,71.06,10.06,7.19,4.27,1.84,5.58,0.0,Worldwide
2025-05,70.21,10.24,8.16,4.06,1.83,5.5,0.0,Worldwide
2025-06,70.14,9.87,9.17,4.09,1.24,5.48,0.0,Worldwide
2025-07,71.88,8.69,9.63,3.88,1.02,4.9,0.01,Worldwide
2025-08,69.42,8.77,11.65,3.96,1.37,4.83,0.0,Worldwide
2025-09,70.81,8.33,11.33,3.34,1.62,4.57,0.0,Worldwide
2025-10,66.25,14.07,11.2,2.95,1.34,4.18,0.0,Worldwide
