date,platform,category,name,change,percentage
2023-01-01,pc,Windows Version,Other,-0.0005,0.0008
2023-01-01,pc,Windows Version,Windows 10,0.0005,0.0005
2023-01-01,pc,Windows Version,Windows 10 64 bit,-0.0195,0.6609
2023-01-01,pc,Windows Version,Windows 11 64 bit,0.0203,0.3159
2023-01-01,pc,Windows Version,Windows 7,0.0,0.0011
2023-01-01,pc,Windows Version,Windows 7 64 bit,-0.0006,0.0167
2023-01-01,pc,Windows Version,Windows 8.1 64 bit,-0.0003,0.004
2023-02-01,mac,OSX Version,MacOS 10.13.6 64 bit,0.0,0.033
2023-02-01,mac,OSX Version,MacOS 10.14.6 64 bit,-0.004,0.0219
2023-02-01,mac,OSX Version,MacOS 10.15.7 64 bit,-0.0025,0.0562
2023-02-01,mac,OSX Version,MacOS 12.4.0 64 bit,-0.0073,0.0351
2023-02-01,mac,OSX Version,MacOS 12.5.0 64 bit,-0.0063,0.0299
2023-02-01,mac,OSX Version,MacOS 12.5.1 64 bit,-0.0087,0.0297
2023-02-01,mac,OSX Version,MacOS 12.6.0 64 bit,-0.026,0.0551
2023-02-01,mac,OSX Version,MacOS 12.6.2 64 bit,-0.0128,0.0269
2023-02-01,mac,OSX Version,MacOS 12.6.3 64 bit,0.045,0.045
2023-02-01,mac,OSX Version,MacOS 13.0.0 64 bit,-0.0028,0.0382
2023-02-01,mac,OSX Version,MacOS 13.0.1 64 bit,-0.0626,0.0711
2023-02-01,mac,OSX Version,MacOS 13.1.0 64 bit,-0.0204,0.1794
2023-02-01,mac,OSX Version,MacOS 13.2.0 64 bit,0.0866,0.1103
2023-02-01,mac,OSX Version,MacOS 13.2.1 64 bit,0.0561,0.0561
2023-02-01,mac,OSX Version,Other,0.0264,0.2121
2023-02-01,pc,Windows Version,Other,0.0004,0.0012
2023-02-01,pc,Windows Version,Windows 10 64 bit,-0.0141,0.6468
2023-02-01,pc,Windows Version,Windows 11 64 bit,0.0168,0.3327
2023-02-01,pc,Windows Version,Windows 7,-0.0001,0.001
2023-02-01,pc,Windows Version,Windows 7 64 bit,-0.0019,0.0148
2023-02-01,pc,Windows Version,Windows 8.1 64 bit,-0.0004,0.0036
2023-03-01,linux,Linux Version,"""Arch Linux"" 64 bit",0.0019,0.1036
2023-03-01,linux,Linux Version,"""Manjaro Linux"" 64 bit",0.0045,0.0695
2023-03-01,linux,Linux Version,"""SteamOS Holo"" 64 bit",0.0015,0.212
2023-03-01,linux,Linux Version,Freedesktop.org SDK 22.08 (Flatpak runtime) 64 bit,-0.0017,0.071
2023-03-01,linux,Linux Version,Other,0.0833,0.4479
2023-03-01,linux,Linux Version,Ubuntu 22.04.2 LTS 64 bit,0.0961,0.0961
2023-03-01,mac,OSX Version,MacOS 10.15.7 64 bit,-0.0017,0.0545
2023-03-01,mac,OSX Version,MacOS 12.6.0 64 bit,-0.0127,0.0424
2023-03-01,mac,OSX Version,MacOS 12.6.3 64 bit,0.0202,0.0652
2023-03-01,mac,OSX Version,MacOS 13.0.1 64 bit,-0.0223,0.0488
2023-03-01,mac,OSX Version,MacOS 13.1.0 64 bit,-0.0971,0.0823
2023-03-01,mac,OSX Version,MacOS 13.2.0 64 bit,-0.0725,0.0378
