name,address,lat,long,phone,avg_rating,num_of_reviews,info
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Wheelchair accessible entrance
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Wheelchair accessible parking lot
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Wheelchair accessible restroom
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Wheelchair accessible seating
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Identifies as women-owned
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Outdoor seating
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,No-contact delivery
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Delivery
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Takeout
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Dine-in
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Great beer selection
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Great cocktails
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Great coffee
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Great dessert
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Great tea selection
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Great wine list
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Lunch
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Dinner
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Solo dining
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Alcohol
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,All you can eat
Nhà Hàng Hoàng,"54 P. Hàng Buồm, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0141317,105.8017321,+84 949 814 805,4.9,24319,Beer
